"","feature","enrich_group","ef_lda","pvalue","padj"
"marker68","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__GCA-900066575","Control",2.56296264591628,0.00498608661270957,0.00498608661270957
"marker69","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__GCA-900066575|s__GCA-900066575_s__","Control",2.56097839041573,0.00498608661270957,0.00498608661270957
"marker70","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_FCS020_group|s__Lachnospiraceae_FCS020_group_bacterium","Control",2.53907013566728,0.0073313263272781,0.0073313263272781
"marker71","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Oscillospira|s__Oscillospira_s__","Control",2.44769231004803,0.0113106710744286,0.0113106710744286
"marker72","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Oscillospira","Control",2.44769219950831,0.0113106710744286,0.0113106710744286
"marker73","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Flavonifractor|s__Flavonifractor_s__","Control",2.42243887515068,0.04994637374304,0.04994637374304
"marker74","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__GCA-900066225","Control",2.35152110360212,0.00287783014072009,0.00287783014072009
"marker75","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__GCA-900066225|s__GCA-900066225_s__","Control",2.35151929204628,0.00287783014072009,0.00287783014072009
"marker76","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Coprobacter|s__fastidiosus","Control",2.3259011428319,0.0369347008378682,0.0369347008378682
"marker77","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptococcaceae|g__Peptococcaceae_g__","Control",2.12699845080664,0.0228705049625965,0.0228705049625965
"marker78","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptococcaceae|g__Peptococcaceae_g__|s__Peptococcaceae_g___s__","Control",2.11639211014532,0.0228705049625965,0.0228705049625965
"marker79","k__Bacteria|p__Actinobacteria","CRC",4.81666503694636,0.00360653884523246,0.00360653884523246
"marker80","k__Bacteria|p__Actinobacteria|c__Coriobacteriia","CRC",4.60956515700375,0.000429342508807388,0.000429342508807388
"marker81","k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales","CRC",4.60956515700375,0.000429342508807388,0.000429342508807388
"marker82","k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae","CRC",4.57410149409599,0.0235946754017884,0.0235946754017884
"marker83","k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella","CRC",4.50925769551253,2.04342518135416e-06,2.04342518135416e-06
"marker84","k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae","CRC",4.50925769375882,2.04342518135416e-06,2.04342518135416e-06
"marker85","k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__aerofaciens","CRC",4.40895469133936,0.000101569967892649,0.000101569967892649
"marker86","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella","CRC",4.30054681232737,0.00226580277656162,0.00226580277656162
"marker87","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Lachnoclostridium_s__","CRC",4.16347358238947,0.00277817268456167,0.00277817268456167
"marker88","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium","CRC",4.16329854555234,0.00277817268456167,0.00277817268456167
"marker89","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae","CRC",4.16199142669982,0.0186471858708852,0.0186471858708852
"marker90","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas","CRC",4.16022250205645,0.0186471858708852,0.0186471858708852
"marker91","k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Anaeroglobus","CRC",4.10940734867254,0.0190164736723008,0.0190164736723008
"marker92","k__Bacteria|p__Proteobacteria","CRC",4.0496376913242,0.0108770540412079,0.0108770540412079
"marker93","k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Dialister","CRC",4.04635244259082,0.0161991279479765,0.0161991279479765
"marker94","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__intermedia","CRC",4.03600815950584,0.0190164736723008,0.0190164736723008
"marker95","k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria","CRC",3.93307408926694,0.0355554292911182,0.0355554292911182
"marker96","k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Dialister|s__Dialister_s__","CRC",3.82762544636425,0.00483331963577227,0.00483331963577227
"marker97","k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae","CRC",3.79154747585779,0.000111689553011666,0.000111689553011666
"marker98","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcus","CRC",3.77435514314364,0.0237071964060667,0.0237071964060667
"marker99","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_s__","CRC",3.74668972410337,0.0190164736723008,0.0190164736723008
"marker100","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_s__","CRC",3.67258707085623,0.0356825067486958,0.0356825067486958
"marker101","k__Bacteria|p__Fusobacteria|c__Fusobacteriia","CRC",3.63397670962193,0.0167462690322665,0.0167462690322665
"marker102","k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales","CRC",3.63230965703115,0.0167462690322665,0.0167462690322665
"marker103","k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium","CRC",3.62917552930636,0.0167462690322665,0.0167462690322665
"marker104","k__Bacteria|p__Fusobacteria","CRC",3.62895778888467,0.0167462690322665,0.0167462690322665
"marker105","k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae","CRC",3.62662191361189,0.0167462690322665,0.0167462690322665
"marker106","k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_s__","CRC",3.59829034931191,0.00353120554949991,0.00353120554949991
"marker107","k__Bacteria|p__Epsilonbacteraeota|c__Campylobacteria|o__Campylobacterales|f__Campylobacteraceae|g__Campylobacter","CRC",3.47230200262968,0.0190164736723008,0.0190164736723008
"marker108","k__Bacteria|p__Epsilonbacteraeota|c__Campylobacteria","CRC",3.4682048427252,0.0190164736723008,0.0190164736723008
"marker109","k__Bacteria|p__Epsilonbacteraeota|c__Campylobacteria|o__Campylobacterales","CRC",3.46820128359447,0.0190164736723008,0.0190164736723008
"marker110","k__Bacteria|p__Epsilonbacteraeota|c__Campylobacteria|o__Campylobacterales|f__Campylobacteraceae","CRC",3.46819370291009,0.0190164736723008,0.0190164736723008
"marker111","k__Bacteria|p__Epsilonbacteraeota","CRC",3.45951025183533,0.0190164736723008,0.0190164736723008
"marker112","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI|g__Parvimonas|s__Parvimonas_s__","CRC",3.328885037126,0.0190164736723008,0.0190164736723008
"marker113","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Hungatella","CRC",3.31390782273538,0.0241884256602696,0.0241884256602696
"marker114","k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__Slackia","CRC",3.29799057230873,1.51555270609414e-05,1.51555270609414e-05
"marker115","k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__Eggerthella","CRC",3.26773997253053,0.000491827739862966,0.000491827739862966
"marker116","k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__Eggerthella|s__lenta","CRC",3.26773532422906,0.000491827739862966,0.000491827739862966
"marker117","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_timonensis","CRC",3.19800632838948,0.0190164736723008,0.0190164736723008
"marker118","k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__nucleatum","CRC",3.14280463017461,0.000101569967892649,0.000101569967892649
"marker119","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcus|s__anaerobius","CRC",2.95349042542917,0.0271097651458437,0.0271097651458437
"marker120","k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__Slackia|s__isoflavoniconvertens","CRC",2.91277174921442,0.00353120554949991,0.00353120554949991
"marker121","k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__Enterorhabdus","CRC",2.8922164255393,0.0190164736723008,0.0190164736723008
